#,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,price_segment
80,3,2,2,yes,yes,no,no,no,1,no,semi-furnished,>= 7ty
81,3,2,3,yes,no,no,no,yes,2,no,semi-furnished,< 7ty
82,5,1,2,yes,yes,yes,no,yes,1,no,furnished,>= 7ty
83,3,1,4,yes,no,no,no,yes,0,no,unfurnished,< 7ty
84,6,2,2,yes,no,no,no,no,0,no,furnished,< 7ty
85,4,2,2,yes,no,yes,no,yes,3,yes,furnished,>= 7ty
86,3,1,3,yes,no,no,no,no,2,yes,semi-furnished,< 7ty
87,3,2,4,yes,yes,no,no,yes,1,no,furnished,>= 7ty
88,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,< 7ty
89,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished,>= 7ty
90,3,1,1,yes,no,yes,no,yes,1,yes,furnished,>= 7ty
91,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished,< 7ty
92,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished,< 7ty
93,3,1,1,yes,no,yes,no,no,1,yes,furnished,< 7ty
94,3,2,4,yes,no,no,no,yes,1,no,furnished,>= 7ty
95,3,2,4,yes,no,no,no,yes,2,no,furnished,>= 7ty
96,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished,>= 7ty
97,3,1,2,yes,no,yes,yes,no,1,no,furnished,< 7ty
98,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished,>= 7ty
99,5,2,2,yes,no,yes,yes,no,2,no,unfurnished,>= 7ty
100,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished,< 7ty
101,2,1,1,yes,no,no,no,no,1,no,semi-furnished,< 7ty
102,3,1,3,yes,no,no,no,yes,0,no,semi-furnished,< 7ty
103,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished,< 7ty
104,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished,< 7ty
105,3,1,2,yes,no,no,no,yes,0,no,semi-furnished,< 7ty
